[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-13 09:47:46,564 INFO [main][SpringApplication.java:675] - No active profile set, falling back to default profiles: default
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-13 09:47:48,178 WARN [main][EndpointId.java:135] - Endpoint ID 'service-registry' contains invalid characters, please migrate to a valid format.
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-13 09:47:48,950 INFO [main][GenericScope.java:294] - BeanFactory id=33c68227-122c-36dd-8028-a36de4f592a4
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-13 09:47:49,123 INFO [main][PostProcessorRegistrationDelegate.java:330] - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$a96fba1c] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-13 09:47:51,989 INFO [main][TomcatWebServer.java:90] - Tomcat initialized with port(s): 53000 (http)
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-13 09:47:52,028 INFO [main][DirectJDKLog.java:173] - Initializing ProtocolHandler ["http-nio-53000"]
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-13 09:47:52,049 INFO [main][DirectJDKLog.java:173] - Starting service [Tomcat]
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-13 09:47:52,050 INFO [main][DirectJDKLog.java:173] - Starting Servlet engine: [Apache Tomcat/9.0.16]
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-13 09:47:52,067 INFO [main][DirectJDKLog.java:173] - The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [C:\Program Files\Java\jdk1.8.0_291\bin;C:\WINDOWS\Sun\Java\bin;C:\WINDOWS\system32;C:\WINDOWS;D:\java\Maven\apache-maven-3.6.3\bin;%MYSQL_HOME%\bin;C:\Program Files\Java\jdk1.8.0_291\bin;C:\Program Files (x86)\Common Files\Oracle\Java\javapath;C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem;C:\WINDOWS\System32\WindowsPowerShell\v1.0\;C:\WINDOWS\System32\OpenSSH\;C:\Program Files\NVIDIA Corporation\NVIDIA NvDLISR;C:\Program Files (x86)\NVIDIA Corporation\PhysX\Common;C:\Users\12715\AppData\Local\Microsoft\WindowsApps;;.]
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-13 09:47:52,448 INFO [main][DirectJDKLog.java:173] - Initializing Spring embedded WebApplicationContext
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-13 09:47:52,449 INFO [main][ServletWebServerApplicationContext.java:296] - Root WebApplicationContext: initialization completed in 5831 ms
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-13 09:47:52,876 WARN [main][URLConfigurationSource.java:121] - No URLs will be polled as dynamic configuration sources.
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-13 09:47:52,876 INFO [main][URLConfigurationSource.java:122] - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-13 09:47:52,976 INFO [main][DynamicPropertyFactory.java:281] - DynamicPropertyFactory is initialized with configuration sources: com.netflix.config.ConcurrentCompositeConfiguration@3bb87d36
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-13 09:47:56,496 INFO [main][WebApplicationImpl.java:815] - Initiating Jersey application, version 'Jersey: 1.19.1 03/11/2016 02:08 PM'
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-13 09:47:56,809 INFO [main][DiscoveryJerseyProvider.java:70] - Using JSON encoding codec LegacyJacksonJson
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-13 09:47:56,811 INFO [main][DiscoveryJerseyProvider.java:71] - Using JSON decoding codec LegacyJacksonJson
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-13 09:47:57,218 INFO [main][DiscoveryJerseyProvider.java:80] - Using XML encoding codec XStreamXml
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-13 09:47:57,219 INFO [main][DiscoveryJerseyProvider.java:81] - Using XML decoding codec XStreamXml
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-13 09:47:58,000 WARN [main][URLConfigurationSource.java:121] - No URLs will be polled as dynamic configuration sources.
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-13 09:47:58,000 INFO [main][URLConfigurationSource.java:122] - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-13 09:47:58,468 INFO [main][ExecutorConfigurationSupport.java:171] - Initializing ExecutorService 'applicationTaskExecutor'
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-13 09:48:01,059 INFO [main][InstanceInfoFactory.java:71] - Setting initial instance status as: STARTING
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-13 09:48:01,114 INFO [main][DiscoveryClient.java:349] - Initializing Eureka in region us-east-1
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-13 09:48:01,114 INFO [main][DiscoveryClient.java:352] - Client configured to neither register nor query for data.
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-13 09:48:01,136 INFO [main][DiscoveryClient.java:365] - Discovery Client initialized at timestamp 1634089681135 with initial instances count: 0
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-13 09:48:01,233 INFO [main][DefaultEurekaServerContext.java:63] - Initializing ...
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-13 09:48:01,239 INFO [main][PeerEurekaNodes.java:188] - Adding new peer nodes [http://localhost:53000/eureka/]
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-13 09:48:02,397 INFO [main][DiscoveryJerseyProvider.java:70] - Using JSON encoding codec LegacyJacksonJson
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-13 09:48:02,398 INFO [main][DiscoveryJerseyProvider.java:71] - Using JSON decoding codec LegacyJacksonJson
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-13 09:48:02,399 INFO [main][DiscoveryJerseyProvider.java:80] - Using XML encoding codec XStreamXml
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-13 09:48:02,399 INFO [main][DiscoveryJerseyProvider.java:81] - Using XML decoding codec XStreamXml
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-13 09:48:02,748 INFO [main][PeerEurekaNodes.java:110] - Replica node URL:  http://localhost:53000/eureka/
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-13 09:48:02,770 INFO [main][AbstractInstanceRegistry.java:151] - Finished initializing remote region registries. All known remote regions: []
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-13 09:48:02,774 INFO [main][DefaultEurekaServerContext.java:70] - Initialized
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-13 09:48:02,816 INFO [main][EndpointLinksResolver.java:59] - Exposing 2 endpoint(s) beneath base path '/actuator'
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-13 09:48:03,023 INFO [main][EurekaServiceRegistry.java:42] - Registering application HNRADIO-DISCOVERY with eureka with status UP
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-13 09:48:03,028 INFO [Thread-45][EurekaServerBootstrap.java:109] - Setting the eureka configuration..
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-13 09:48:03,029 INFO [Thread-45][EurekaServerBootstrap.java:114] - Eureka data center value eureka.datacenter is not set, defaulting to default
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-13 09:48:03,031 INFO [Thread-45][EurekaServerBootstrap.java:128] - Eureka environment value eureka.environment is not set, defaulting to test
