[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-17 15:20:38,281 INFO [main][DiscoveryJerseyProvider.java:80] - Using XML encoding codec XStreamXml
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-17 15:20:38,282 INFO [main][DiscoveryJerseyProvider.java:81] - Using XML decoding codec XStreamXml
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-17 15:20:38,613 INFO [main][PeerEurekaNodes.java:110] - Replica node URL:  http://localhost:53000/eureka/
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-17 15:20:38,663 INFO [main][AbstractInstanceRegistry.java:151] - Finished initializing remote region registries. All known remote regions: []
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-17 15:20:38,664 INFO [main][DefaultEurekaServerContext.java:70] - Initialized
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-17 15:20:38,687 INFO [main][EndpointLinksResolver.java:59] - Exposing 2 endpoint(s) beneath base path '/actuator'
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-17 15:20:38,906 INFO [main][EurekaServiceRegistry.java:42] - Registering application HNRADIO-DISCOVERY with eureka with status UP
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-17 15:20:38,911 INFO [Thread-36][EurekaServerBootstrap.java:109] - Setting the eureka configuration..
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-17 15:20:38,912 INFO [Thread-36][EurekaServerBootstrap.java:114] - Eureka data center value eureka.datacenter is not set, defaulting to default
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-17 15:20:38,914 INFO [Thread-36][EurekaServerBootstrap.java:128] - Eureka environment value eureka.environment is not set, defaulting to test
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-17 15:20:38,929 INFO [main][DirectJDKLog.java:173] - Starting ProtocolHandler ["http-nio-53000"]
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-17 15:20:38,966 INFO [Thread-36][EurekaServerBootstrap.java:184] - isAws returned false
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-17 15:20:38,968 INFO [Thread-36][EurekaServerBootstrap.java:152] - Initialized server context
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-17 15:20:38,969 INFO [Thread-36][PeerAwareInstanceRegistryImpl.java:241] - Got 1 instances from neighboring DS node
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-17 15:20:38,969 INFO [Thread-36][PeerAwareInstanceRegistryImpl.java:242] - Renew threshold is: 1
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-17 15:20:38,970 INFO [Thread-36][PeerAwareInstanceRegistryImpl.java:253] - Changing status to UP
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-17 15:20:38,985 INFO [Thread-36][EurekaServerInitializerConfiguration.java:72] - Started Eureka Server
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-17 15:20:38,985 INFO [main][TomcatWebServer.java:204] - Tomcat started on port(s): 53000 (http) with context path ''
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-17 15:20:38,987 INFO [main][EurekaAutoServiceRegistration.java:141] - Updating port to 53000
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-17 15:20:38,991 INFO [main][StartupInfoLogger.java:59] - Started DiscoveryServer in 13.192 seconds (JVM running for 15.153)
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-17 15:20:39,359 INFO [RMI TCP Connection(5)-192.168.0.13][DirectJDKLog.java:173] - Initializing Spring DispatcherServlet 'dispatcherServlet'
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-17 15:20:39,360 INFO [RMI TCP Connection(5)-192.168.0.13][FrameworkServlet.java:524] - Initializing Servlet 'dispatcherServlet'
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-17 15:20:39,375 INFO [RMI TCP Connection(5)-192.168.0.13][FrameworkServlet.java:546] - Completed initialization in 14 ms
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-17 15:20:48,986 INFO [Eureka-EvictionTimer][AbstractInstanceRegistry.java:1250] - Running the evict task with compensationTime 0ms
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-17 15:20:51,582 INFO [http-nio-53000-exec-2][AbstractInstanceRegistry.java:266] - Registered instance GATEWAY-SERVER/gateway-server:192.168.0.13:53010 with status UP (replication=false)
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-17 15:20:52,403 INFO [http-nio-53000-exec-3][AbstractInstanceRegistry.java:266] - Registered instance GATEWAY-SERVER/gateway-server:192.168.0.13:53010 with status UP (replication=true)
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-17 15:20:59,011 INFO [Eureka-EvictionTimer][AbstractInstanceRegistry.java:1250] - Running the evict task with compensationTime 24ms
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-17 15:21:06,697 INFO [http-nio-53000-exec-5][AbstractInstanceRegistry.java:266] - Registered instance UAA-SERVICE/uaa-service:192.168.0.13:53020 with status UP (replication=false)
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-17 15:21:07,219 INFO [http-nio-53000-exec-6][AbstractInstanceRegistry.java:266] - Registered instance UAA-SERVICE/uaa-service:192.168.0.13:53020 with status UP (replication=true)
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-17 15:21:09,017 INFO [Eureka-EvictionTimer][AbstractInstanceRegistry.java:1250] - Running the evict task with compensationTime 6ms
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-17 15:21:09,639 INFO [http-nio-53000-exec-8][AbstractInstanceRegistry.java:266] - Registered instance CONSUMER-SERVICE/consumer-service:192.168.0.13:53050 with status UP (replication=false)
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-17 15:21:09,905 INFO [http-nio-53000-exec-10][AbstractInstanceRegistry.java:266] - Registered instance ACCOUNT-SERVICE/account-service:192.168.0.13:53030 with status UP (replication=false)
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-17 15:21:10,163 INFO [http-nio-53000-exec-1][AbstractInstanceRegistry.java:266] - Registered instance CONSUMER-SERVICE/consumer-service:192.168.0.13:53050 with status UP (replication=true)
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-17 15:21:10,164 INFO [http-nio-53000-exec-1][AbstractInstanceRegistry.java:266] - Registered instance ACCOUNT-SERVICE/account-service:192.168.0.13:53030 with status UP (replication=true)
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-17 15:21:19,018 INFO [Eureka-EvictionTimer][AbstractInstanceRegistry.java:1250] - Running the evict task with compensationTime 1ms
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-17 15:21:29,030 INFO [Eureka-EvictionTimer][AbstractInstanceRegistry.java:1250] - Running the evict task with compensationTime 12ms
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-17 15:21:39,036 INFO [Eureka-EvictionTimer][AbstractInstanceRegistry.java:1250] - Running the evict task with compensationTime 5ms
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-17 15:21:49,049 INFO [Eureka-EvictionTimer][AbstractInstanceRegistry.java:1250] - Running the evict task with compensationTime 13ms
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-17 15:21:59,060 INFO [Eureka-EvictionTimer][AbstractInstanceRegistry.java:1250] - Running the evict task with compensationTime 11ms
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-17 15:22:09,062 INFO [Eureka-EvictionTimer][AbstractInstanceRegistry.java:1250] - Running the evict task with compensationTime 2ms
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-17 15:22:19,077 INFO [Eureka-EvictionTimer][AbstractInstanceRegistry.java:1250] - Running the evict task with compensationTime 12ms
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-17 15:22:29,082 INFO [Eureka-EvictionTimer][AbstractInstanceRegistry.java:1250] - Running the evict task with compensationTime 7ms
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-17 15:22:39,097 INFO [Eureka-EvictionTimer][AbstractInstanceRegistry.java:1250] - Running the evict task with compensationTime 15ms
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-17 15:22:49,106 INFO [Eureka-EvictionTimer][AbstractInstanceRegistry.java:1250] - Running the evict task with compensationTime 9ms
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-17 15:22:59,115 INFO [Eureka-EvictionTimer][AbstractInstanceRegistry.java:1250] - Running the evict task with compensationTime 9ms
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-17 15:23:09,128 INFO [Eureka-EvictionTimer][AbstractInstanceRegistry.java:1250] - Running the evict task with compensationTime 12ms
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-17 15:23:19,982 INFO [main][SpringApplication.java:675] - No active profile set, falling back to default profiles: default
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-17 15:23:20,625 WARN [main][EndpointId.java:135] - Endpoint ID 'service-registry' contains invalid characters, please migrate to a valid format.
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-17 15:23:20,887 INFO [main][GenericScope.java:294] - BeanFactory id=33c68227-122c-36dd-8028-a36de4f592a4
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-17 15:23:21,106 INFO [main][PostProcessorRegistrationDelegate.java:330] - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$25465ea9] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-17 15:23:21,952 INFO [main][TomcatWebServer.java:90] - Tomcat initialized with port(s): 53000 (http)
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-17 15:23:22,019 INFO [main][DirectJDKLog.java:173] - Initializing ProtocolHandler ["http-nio-53000"]
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-17 15:23:22,074 INFO [main][DirectJDKLog.java:173] - Starting service [Tomcat]
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-17 15:23:22,075 INFO [main][DirectJDKLog.java:173] - Starting Servlet engine: [Apache Tomcat/9.0.16]
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-17 15:23:22,102 INFO [main][DirectJDKLog.java:173] - The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [C:\Program Files\Java\jdk1.8.0_291\bin;C:\WINDOWS\Sun\Java\bin;C:\WINDOWS\system32;C:\WINDOWS;D:\java\Maven\apache-maven-3.6.3\bin;C:\mysql-5.7.26-winx64\bin;C:\Program Files\Java\jdk1.8.0_291\bin;C:\Program Files (x86)\Common Files\Oracle\Java\javapath;C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem;C:\WINDOWS\System32\WindowsPowerShell\v1.0\;C:\WINDOWS\System32\OpenSSH\;C:\Program Files\NVIDIA Corporation\NVIDIA NvDLISR;C:\Program Files (x86)\NVIDIA Corporation\PhysX\Common;C:\Users\12715\AppData\Local\Microsoft\WindowsApps;;.]
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-17 15:23:22,266 INFO [main][DirectJDKLog.java:173] - Initializing Spring embedded WebApplicationContext
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-17 15:23:22,266 INFO [main][ServletWebServerApplicationContext.java:296] - Root WebApplicationContext: initialization completed in 2275 ms
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-17 15:23:22,398 WARN [main][URLConfigurationSource.java:121] - No URLs will be polled as dynamic configuration sources.
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-17 15:23:22,398 INFO [main][URLConfigurationSource.java:122] - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-17 15:23:22,424 INFO [main][DynamicPropertyFactory.java:281] - DynamicPropertyFactory is initialized with configuration sources: com.netflix.config.ConcurrentCompositeConfiguration@3f1a4795
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-17 15:23:23,237 INFO [main][WebApplicationImpl.java:815] - Initiating Jersey application, version 'Jersey: 1.19.1 03/11/2016 02:08 PM'
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-17 15:23:23,292 INFO [main][DiscoveryJerseyProvider.java:70] - Using JSON encoding codec LegacyJacksonJson
[wanxinp2p-discover-server][${env:SERVER_PORT}] 2021-10-17 15:23:23,292 INFO [main][DiscoveryJerseyProvider.java:71] - Using JSON decoding codec LegacyJacksonJson
